set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
60501,LEGO® City 60501 Lava Land-Achterbahnpark EXKLUSIV!,,,,96.59,0
40695,LEGO® Harry Potter 40695 Borgin and Burkes: Floo Network,,,,41.40,0
40586,LEGO® Icons 40586 Umzugswagen EXKLUSIV!,,,,24.96,0
40864,LEGO® 40864 Glücksbringer EXKLUSIV!,,,,33.59,0
40701,LEGO® 40701 Ballerina-Szene EXKLUSIV!,,,,22.99,0
40746,LEGO® 40746 Santa's Delivery Truck EXKLUSIV!,,,,21.12,0
60508,LEGO® City 60508 Überfall auf den Polizeizug NEU OVP,,,,150.00,0
40913,LEGO® Icons 40913 Oldtimer-Parade EXKLUSIV!,,,,23.99,0
42674,LEGO® Friends 42674 Comic- und Spieleladen,,,,81.60,0
31216,LEGO® Art 31216 Keith Haring Tanzende Figuren NEU,,,,93.06,0
40673,LEGO® BrickHeadz 40673 Micky Maus im Frühlingsfestkostüm,,,,10.08,0
40688,LEGO® 40688 Siegerpokal EXKLUSIV!,,,,16.49,0
11503,LEGO® Botanicals 11503 Blumen an der Wand,,,,85.36,0
40671,LEGO® BrickHeadz 40671 Groot im Topf NEU OVP EXKLUSIV!,,,,16.49,0
21368,LEGO® Ideas 21368 Peanuts: Snoopys Hundehütte NEU OVP,,,,69.99,0
10356,LEGO® Icons 10356 Star Trek: U.S.S. Enterprise NCC-1701-D,,,,347.79,0
40925,LEGO® BrickHeadz 40925 Alice im Wunderland EXKLUSIV!,,,,44.99,0
40685,LEGO® 40685 Erlebnisfreibad EXKLUSIV,,,,19.19,0
40922,LEGO® BrickHeadz 40922 Lilo & Stitch: Angel NEU OVP,,,,16.32,0
40373,LEGO® 40373 Jahrmarkt-Minifiguren-Zubehörset NEU OVP!,,,,11.52,0
75419,LEGO® Star Wars 75419 Todesstern EXKLUSIV!,,,,950.00,0
60488,LEGO® City 60488 Pommes-Truck,,,,19.19,0
40689,LEGO® 40689 Feuerwerk EXKLUSIV!,,,,15.00,0
42196,LEGO® Technic 42196 Lamborghini Huracán Tecnica Orange,,,,49.50,0
40957,LEGO® 40957 Frühlingskranz NEU OVP EXKLUSIV!,,,,43.20,0
40507,LEGO® 40507 I love Billund EXKLUSIV! NEU OVP!,,,,159.99,0
40680,LEGO® 40680 Blumenladen EXKLUSIV!,,,,20.24,0
43020,LEGO® 43020 Offizieller Pokal FIFA Fußball-WM NEU OVP!,,,,142.50,0
40802,LEGO® BrickHeadz 40802 Luna Lovegood & Thestral Figuren,,,,24.24,0
40952,LEGO® Promotional 40952 LEGOLAND Castle EXKLUSIV!,,,,63.69,0
40915,LEGO® 40915 Lion Dance EXKLUSIV!,,,,26.88,0
40792,LEGO® BrickHeadz 40792 Dumbo NEU OVP,,,,14.54,0
60511,LEGO® City 60511 Klassischer Dampfzug NEU OVP!,,,,79.00,0
40860,LEGO® BrickHeadz 40860 Toy Story EXKLUSIV,,,,44.99,0
40804,LEGO® BrickHeadz 40804 Bumblebee Mech & Fahrzeug,,,,24.24,0
40760,LEGO® Fortnite 40760 Abenteuer-Schali und Kuschelbeauftragte,,,,28.79,0
40646,LEGO® Icons 40646 Narzissen EOL!,,,,16.98,0
40670,LEGO® BrickHeadz 40670 Iron Spider-Man NEU OVP,,,,16.49,0
40683,LEGO® 40683 Blumenrankgitter NEU OVP EXKLUSIV!,,,,19.19,0
40878,LEGO® BrickHeadz 40878 Teenage Mutant Ninja Turtles Figuren,,,,44.00,0
10466,LEGO® Duplo 10466 Zugfahrt mit Opa EXKLUSIV!,,,,43.19,0
40521,LEGO® Promotional 40521 The Haunted Mansion Disney Parks,,,,27.89,0
60495,LEGO® City 60495 Recycling-LKW NEU OVP EXKLUSIV!,,,,41.27,0
77093,LEGO® Gaming 77093 Ocarina of Time Das Letzte Gefecht,,,,116.24,0
75421,LEGO® Star Wars 75421 SMART Play: Darth Vaders TIE Fighter,,,,64.39,0
40822,LEGO® 40822 Pickup mit Halloweenkürbis EXKLUSIV!,,,,22.00,0
76238,LEGO® Super Heroes 76238 Batman Maske TV-Klassiker NEU OVP,,,,64.99,0
40516,LEGO® 40516 Jeder ist besonders EXKLUSIV! EOL!,,,,41.84,0
