set_num,name,ebay_list_eur,ebay_coupon_eur,ebay_best_eur,ebay_sold,ebay_url
71048,LEGO® Minifigures 71048 Serie 27 - 12er Set,45.0,42.75,42.75,58,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71048
40824,40824 Liebesbote Tweety,39.99,,39.99,58,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40824
40528,LEGO® Store 40528 NEU OVP EXKLUSIV!,29.99,28.19,28.19,57,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40528
76457,LEGO® Harry Potter 76457 Dorf Hogsmeade Sammleredition,349.0,321.08,321.08,56,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76457
11371,LEGO® Icons 11371 Einkaufsmeile NEU OVP EXKLUSIV!,242.0,229.9,229.9,56,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=11371
40757,LEGO® Icons 40757 Kiosk an der Ecke EXKLUSIV! NEU OVP!,35.0,33.25,33.25,56,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40757
40825,LEGO® 40825 Halloweenkranz EXKLUSIV!,44.99,42.74,42.74,56,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40825
40380,BrickHeadz 40380 Osterschaf,15.0,,15.0,56,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40380
40761,LEGO® Icons 40761 Herr der Ringe: Sméagol & Déagol EXKLUSIV!,99.99,91.99,91.99,55,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40761
21061,Architecture 21061 Notre-Dame de Paris,199.99,191.99,191.99,55,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21061
10374,Icons 10374 Rosa Rosenstrauß,59.99,,59.99,55,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10374
40867,LEGO® 40867 LOVE 4 Buchstaben EXKLUSIV!,24.99,22.99,22.99,53,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40867
10323,LEGO® Icons 10323 PAC-MAN Spielautomat NEU OVP EXKLUSIV!,279.99,257.59,257.59,53,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10323
40352,BrickHeadz 40352 Erntedankfest-Vogelscheuche,17.0,,17.0,52,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40352
21367,LEGO® Ideas 21367 Die Mondrakete von Tim und Struppi NEU OVP,139.99,131.59,131.59,50,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21367
40588,Promotional 40588 Blumentopf,49.99,47.99,47.99,50,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40588
40793,LEGO® BrickHeadz 40793 Tom & Jerry Figuren,19.99,19.19,19.19,49,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40793
43008,LEGO® 43008 Nike Dunk x LEGO Set EXKLUSIV!,109.99,98.99,98.99,48,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=43008
